method,kind,n_seeds,coarse_f1_mean,coarse_f1_std,coarse_f1_n,fine_f1_mean,fine_f1_std,fine_f1_n,u_public_mean,u_public_std,u_public_n,rfc_mean,rfc_std,rfc_n,ucg_mean,ucg_std,ucg_n,arr_mean,arr_std,arr_n
random_frozen_lora,baseline,5,0.17997557997557997,0.09496513119518274,5,0.15333333333333332,0.029814239699997188,5,0.0796078431372549,0.013251623913022129,5,0.43096696768375964,0.025804980736772003,5,0.35135912454650475,0.03007759895618764,5,0.7329103466508046,0.6199735362371109,5
coarse_pretrained_fedlora,baseline,5,0.6882539682539682,0.22111287730467472,5,0.28428571428571425,0.21795535127037438,5,0.32002267573696147,0.16741781616989393,5,0.3471014904635594,0.2105608320779816,5,0.027078814726597965,0.11746965036181714,5,1.0,0.0,5
imagenet_pretrained_fedlora,baseline,5,0.6786970545794075,0.16864674767779225,5,0.21305779600516442,0.06743286750320707,5,0.1628923407419648,0.10451558369957568,5,0.3015857581277025,0.05679832943630127,5,0.13869341738573768,0.0891272582862576,5,1.4230123281153193,2.123155373264502,5
full_finetune,baseline,5,0.7570370370370371,0.2233551368264818,5,0.22166666666666665,0.12850637684134156,5,0.17862914862914864,0.08336940680839426,5,0.3152690166975881,0.10485415940467506,5,0.1366398680684395,0.15842886414956256,5,-2.692128340935276,8.242908269843252,5
coarse_only,capability_isolation,5,0.8082539682539682,0.21011940359998027,5,0.09723809523809523,0.13368423214015368,5,0.28807256235827666,0.06243236168101428,5,0.40456204513373295,0.19269317899777968,5,0.11648948277545632,0.18141835905849887,5,-1.371383289270763,4.6837708716694975,5
hidden_fine_head,capability_isolation,5,0.677037037037037,0.18246896874313676,5,0.195,0.11236102527122116,5,0.20435889507318078,0.07975849580975854,5,0.4355122655122655,0.177030963919543,5,0.2311533704390847,0.1789747181197308,5,1.5279895268780148,2.081930965054165,5
adapter_isolation,capability_isolation,5,0.7570370370370371,0.2233551368264818,5,0.22166666666666665,0.12850637684134156,5,0.17862914862914864,0.08336940680839426,5,0.3152690166975881,0.10485415940467506,5,0.1366398680684395,0.15842886414956256,5,-2.692128340935276,8.242908269843252,5
adversarial,capability_isolation,5,0.6052426961122613,0.14361849530187548,5,0.17845238095238095,0.09636277884843447,5,0.3330574654104066,0.13487100037100266,5,0.4699245695643211,0.18654769323201567,5,0.1368671041539145,0.1357203515613208,5,0.6470572162319255,1.7676020451093526,5
orthogonal,capability_isolation,5,0.6678139793929267,0.1884052576204466,5,0.2276190476190476,0.13571010854056048,5,0.2059455821955822,0.09962168695991155,5,0.43010198800927996,0.19973950223204656,5,0.22415640581369772,0.17653667415125804,5,0.9311354590576374,1.0228844012501948,5
combined,capability_isolation,5,0.5916235032024506,0.03532643026126227,5,0.2438095238095238,0.12108494797393415,5,0.2979683015397301,0.10287487990910832,5,0.40075036075036075,0.16541603954078307,5,0.10278205921063065,0.0746023640480642,5,-1.4227297716300384,4.828799944325178,5
