attack,n_seeds,metric,mean,std,note
simplified_known_label_gradient_inversion (single unaggregated gradient),3,PSNR_dB,56.20848774909973,71.06878107806294,mse mean=1.3612
membership_inference (loss-threshold),3,SymmetricAUC,0.5392252604166667,0.013295643306256096,"raw attack_AUC (diagnostic, direction not symmetrized) mean=0.510"
membership_inference (loss-threshold),3,AttackAdvantage,0.07845052083333337,0.026591286612512175,pre-registered SymmetricAUC target <= 0.55 (docs/research_scope.md)
auxiliary_data_adapter_finetuning_recovery (A2),3,"fine_macro_f1 @ auxiliary_examples=8, epochs=5",0.026744186046511628,0.0,
auxiliary_data_adapter_finetuning_recovery (A2),3,"fine_macro_f1 @ auxiliary_examples=16, epochs=5",0.03407524861013233,0.012697772833657204,
auxiliary_data_adapter_finetuning_recovery (A2),3,"fine_macro_f1 @ auxiliary_examples=32, epochs=5",0.02843551797040169,0.0029294728246408055,
fixed_budget_hard_label_distillation (A3),3,"fine_macro_f1 @ query_budget=16, epochs=5",0.02806831026551051,0.004165364585118367,
fixed_budget_hard_label_distillation (A3),3,"fine_macro_f1 @ query_budget=32, epochs=5",0.02806831026551051,0.004165364585118367,
fixed_budget_hard_label_distillation (A3),3,"fine_macro_f1 @ query_budget=64, epochs=5",0.02806831026551051,0.004165364585118367,
"auxiliary_data_ensemble_collusion_proxy (2 attackers vs solo, same total budget)",3,fine_macro_f1 gain over solo,0.005171299079982671,0.0001685342737417619,
