attack,aggregator,n_seeds,n_aggregation_failures,fine_macro_f1_mean,fine_macro_f1_std,model_corrupted_rate,backdoor_success_rate_mean
backdoor,coordinate_median,3,0,0.02880184331797235,0.0,0.0,1.0
backdoor,fedavg,3,0,0.02880184331797235,0.0,0.0,1.0
backdoor,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,1.0
free_rider,coordinate_median,3,0,0.02880184331797235,0.0,0.0,
free_rider,fedavg,3,0,0.02880184331797235,0.0,0.0,
free_rider,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,
label_flip,coordinate_median,3,0,0.02880184331797235,0.0,0.0,
label_flip,fedavg,3,0,0.02880184331797235,0.0,0.0,
label_flip,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,
malformed,fedavg,3,0,0.02880184331797235,0.0,1.0,
malformed,validated_fedavg,3,0,0.02880184331797235,0.0,0.0,
model_replacement,coordinate_median,3,0,0.02880184331797235,0.0,0.0,
model_replacement,fedavg,3,0,0.028789315724234384,0.002038894746072804,0.0,
model_replacement,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,
none,coordinate_median,3,0,0.02880184331797235,0.0,0.0,
none,fedavg,3,0,0.02880184331797235,0.0,0.0,
none,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,
sign_flip,coordinate_median,3,0,0.02880184331797235,0.0,0.0,
sign_flip,fedavg,3,0,0.02706286409877402,0.003012000360957963,0.0,
sign_flip,trimmed_mean,3,0,0.02880184331797235,0.0,0.0,
