mask_scale,attacker,n_seeds,masked_case_attack_auc_mean,masked_case_attack_auc_std
0.1,logistic,3,1.0,0.0
0.1,mlp,3,1.0,0.0
0.5,logistic,3,1.0,0.0
0.5,mlp,3,1.0,0.0
1.0,logistic,3,1.0,0.0
1.0,mlp,3,0.999732905982906,0.00046262040800450617
2.0,logistic,3,1.0,0.0
2.0,mlp,3,0.9895827972152741,0.017352445305337465
5.0,logistic,3,0.9376807790095626,0.009334186284931928
5.0,mlp,3,0.8611229593202194,0.08276599122704678
10.0,logistic,3,0.7074433237432535,0.05884386159901292
10.0,mlp,3,0.6604028509042811,0.09695004971142278
20.0,logistic,3,0.5539733371333381,0.05646668106161848
20.0,mlp,3,0.5743283727401552,0.0819354230035726
50.0,logistic,3,0.50510588117222,0.05070329957602562
50.0,mlp,3,0.5493199664089868,0.08159654270582134
