scenario,method,n_seeds,retained_fine_macro_f1_mean,retained_fine_macro_f1_std,gap_to_gold_standard_mean,gap_to_gold_standard_std,forgetting_symmetric_auc_mean,forgetting_symmetric_auc_std,forgetting_attack_advantage_mean,forgetting_attack_advantage_std
patient,full_retrain,3,0.07118012422360248,0.008946686996288616,0.0,0.0,0.7839506172839507,0.15749815829843294,0.5679012345679012,0.314996316596866
patient,checkpoint_rollback,3,0.02347613983558684,0.007075997580887761,-0.047703984388015645,0.011607883012031469,0.7181069958847737,0.1728762453604524,0.4362139917695473,0.34575249072090475
patient,adapter_deletion_and_retrain,3,0.12698412698412698,0.048639852209665276,0.05580400276052449,0.05093481337164979,0.868312757201646,0.16358995234815607,0.7366255144032922,0.3271799046963121
patient,gradient_ascent_unlearning,3,0.04242749731471536,0.028229992698069653,-0.028752626908887125,0.025211114542710862,0.9629629629629629,0.06415002990995845,0.9259259259259259,0.12830005981991682
patient,key_revocation_only,3,0.05078540507111936,0.029812926092115374,-0.020394719152483125,0.020866843937401538,0.7139917695473251,0.13724449502594477,0.4279835390946502,0.27448899005188954
patient_group,full_retrain,3,0.07118012422360248,0.008946686996288616,0.0,0.0,0.5679012345679012,0.05657500857970169,0.1358024691358024,0.11315001715940338
patient_group,checkpoint_rollback,3,0.02347613983558684,0.007075997580887761,-0.047703984388015645,0.011607883012031469,0.6618655692729767,0.16525507661918043,0.3237311385459534,0.3305101532383609
patient_group,adapter_deletion_and_retrain,3,0.12312925170068026,0.0354721301346495,0.05194912747707778,0.026832553087503746,0.5795610425240055,0.060071498737030195,0.15912208504801098,0.12014299747406039
patient_group,gradient_ascent_unlearning,3,0.03072899640405361,0.027178306231875157,-0.04045112781954887,0.03529288389100395,0.7318244170096022,0.027784127709916465,0.46364883401920437,0.055568255419832874
patient_group,key_revocation_only,3,0.05078540507111936,0.029812926092115374,-0.020394719152483125,0.020866843937401538,0.6227709190672154,0.09902942541688556,0.24554183813443076,0.19805885083377112
