scenario,method,n_seeds,retained_fine_macro_f1_mean,retained_fine_macro_f1_std,gap_to_gold_standard_mean,gap_to_gold_standard_std,forgetting_auc_mean,forgetting_auc_std
class,adapter_deletion_and_retrain,3,0.034969501044634296,0.00461527723258989,0.0030688939118290264,0.006669742626071218,0.0,0.0
class,checkpoint_rollback,3,0.006535947712418301,0.011320593513522074,-0.025364659420386973,0.008994571360299424,0.9877578176979375,0.021204081742692827
class,full_retrain,3,0.03190060713280527,0.00232602215322265,0.0,0.0,0.0,0.0
class,gradient_ascent_unlearning,3,0.035020096850064436,0.0015262392698597508,0.003119489717259165,0.0020468803124101846,0.0,0.0
class,key_revocation_only,3,0.03429546223772884,0.036308935750091184,0.002394855104923569,0.03658972448983232,0.8206919494344644,0.2153477402662615
institution,adapter_deletion_and_retrain,3,0.03608504878497717,0.01775066429392068,0.00830727100719939,0.01775066429392068,0.46555989583333335,0.048674106046712504
institution,checkpoint_rollback,3,0.03511854707770744,0.012714585394119992,0.007340769299929661,0.012714585394119992,0.5000651041666666,0.10067451601394428
institution,full_retrain,3,0.027777777777777776,0.0,0.0,0.0,0.47890625,0.04532638863121191
institution,gradient_ascent_unlearning,3,0.02933497107110735,0.0050173026961624154,0.0015571932933295743,0.0050173026961624154,0.453515625,0.09535091438995222
institution,key_revocation_only,3,0.03615155941194131,0.017865218084096728,0.008373781634163533,0.017865218084096728,0.5091145833333333,0.0467773777291978
